LapNumber,SectorID,IF_sector_mean
1.0,0,0.4479054608531216
1.0,1,0.43333093014809326
1.0,2,0.420334933381858
2.0,0,0.4238732075658281
2.0,1,0.42887371686304765
2.0,2,0.42426744550175427
3.0,0,0.4248121561316934
3.0,1,0.4271142284825315
3.0,2,0.42181926204429815
4.0,0,0.42467016616008163
4.0,1,0.42826090725038757
4.0,2,0.42331480868843446
5.0,0,0.4218715507090176
5.0,1,0.42897974917212883
5.0,2,0.4235494242866901
6.0,0,0.4211607331618411
6.0,1,0.4269255813629112
6.0,2,0.423379383186303
7.0,0,0.42268682478300135
7.0,1,0.4274117109028214
7.0,2,0.42432321368436826
8.0,0,0.42193447347627294
8.0,1,0.43141347953369164
8.0,2,0.4232736600933785
9.0,0,0.42331586785758263
9.0,1,0.42458138730158146
9.0,2,0.4239515048884618
10.0,0,0.4200360207181222
10.0,1,0.427724618105948
10.0,2,0.42333463962364926
11.0,0,0.42172781861095215
11.0,1,0.42866532961258574
11.0,2,0.4229529848943165
12.0,0,0.4208581700442169
12.0,1,0.42743020648070446
12.0,2,0.42277370252235097
13.0,0,0.42108377672762165
13.0,1,0.4252004751022908
13.0,2,0.4239468493226745
14.0,0,0.4229155479491858
14.0,1,0.42428254424248923
14.0,2,0.4220356431721346
15.0,0,0.42194494503474733
15.0,1,0.4288405770080384
15.0,2,0.4264942612835904
16.0,0,0.42555896331829723
16.0,1,0.42186463303393296
16.0,2,0.4264545108835331
17.0,0,0.4208689374083318
17.0,1,0.42963539430147213
17.0,2,0.43632221975098606
18.0,0,0.430087268550188
18.0,1,0.43301200488417424
18.0,2,0.43423418186465756
19.0,0,0.4396459128014041
19.0,1,0.44328724734262737
19.0,2,0.43713143769731383
20.0,0,0.4326548787000943
20.0,1,0.4365095935996295
20.0,2,0.4291219748742895
21.0,0,0.42258098730428756
21.0,1,0.4355495539509162
21.0,2,0.42201929857336784
22.0,0,0.42037851807962706
22.0,1,0.42765513777138076
22.0,2,0.42205870007188623
23.0,0,0.4210250090712581
23.0,1,0.4296111033926107
23.0,2,0.4227079907354174
24.0,0,0.41974044697966717
24.0,1,0.4289594780601445
24.0,2,0.4248047062489594
25.0,0,0.4284082942794088
25.0,1,0.43647443963377763
25.0,2,0.43242917646886103
26.0,0,0.4281543942994819
26.0,1,0.45608958646225206
26.0,2,0.4507316729640027
27.0,0,0.46035665245356455
27.0,1,0.43836405360667396
27.0,2,0.43198411553275295
28.0,0,0.4299922774881965
28.0,1,0.4410063537646396
28.0,2,0.4362340507639774
29.0,0,0.4329052665346344
29.0,1,0.4417346430329909
29.0,2,0.4378369007866344
30.0,0,0.43276655644653284
30.0,1,0.44161230319964045
30.0,2,0.4393822021171042
31.0,0,0.4316984635232022
31.0,1,0.4412287343318004
31.0,2,0.43771415281065973
32.0,0,0.4311828818917262
32.0,1,0.4418848387203814
32.0,2,0.43963211895724214
33.0,0,0.43216519411821613
33.0,1,0.4412573979867517
33.0,2,0.4381066212488875
34.0,0,0.4310673079058245
34.0,1,0.4443676912707302
34.0,2,0.43631486708417483
35.0,0,0.43468939186563244
35.0,1,0.44483636733414006
35.0,2,0.439765320194641
36.0,0,0.4297067202913831
36.0,1,0.4459765656218217
36.0,2,0.4374576942882164
37.0,0,0.42592199005954595
37.0,1,0.4436506302832513
37.0,2,0.4324733079747163
38.0,0,0.4231828640113676
38.0,1,0.43335385255024544
38.0,2,0.44569303224940726
39.0,0,0.46607389513621156
39.0,1,0.4323273400760801
39.0,2,0.429230789597285
40.0,0,0.41997092220134197
40.0,1,0.41999297372043853
40.0,2,0.4226616622590318
41.0,0,0.41857515821386504
41.0,1,0.418278280062477
41.0,2,0.4206243034537158
42.0,0,0.418666894861584
42.0,1,0.42085311811295256
42.0,2,0.4231482613757776
43.0,0,0.4198843923825749
43.0,1,0.42346893941123026
43.0,2,0.4168967393835674
44.0,0,0.4217315573658222
44.0,1,0.4228568406483975
44.0,2,0.41916992078286364
45.0,0,0.4197239342505543
45.0,1,0.419786664555337
45.0,2,0.424935851760043
46.0,0,0.4244070173662012
46.0,1,0.4236172833176567
46.0,2,0.41863187652139755
47.0,0,0.42394909185582724
47.0,1,0.423995652965053
47.0,2,0.41899601503061346
48.0,0,0.4259712540715037
48.0,1,0.4299729694053105
48.0,2,0.4289183347676361
49.0,0,0.4208807445006991
49.0,1,0.417023278991379
49.0,2,0.4187350300611065
50.0,0,0.42043180249904677
50.0,1,0.4215710507615812
50.0,2,0.41621876519299067
51.0,0,0.4206484795946641
51.0,1,0.41883087328018825
51.0,2,0.41808154491268856
52.0,0,0.4201297039518533
52.0,1,0.4236219588331393
52.0,2,0.4211751102976522
